============ Start of Season ============
1972-02-27 | w: LAL | L: CHI
1972-02-29 | w: GOS | L: CIN
1972-02-29 | w: LAL | L: NYK
1972-02-29 | w: MIL | L: DET
1972-02-29 | w: CHI | L: POR
1972-02-29 | w: SEA | L: BLT
1972-02-29 | w: ATL | L: BUF
1972-03-01 | w: BOS | L: CLE
1972-03-01 | w: SEA | L: DET
1972-03-01 | w: HOU | L: CIN
1972-03-01 | w: BLT | L: PHX
1972-03-01 | w: LAL | L: MIL
1972-03-01 | w: PHL | L: BUF
1972-03-03 | w: LAL | L: ATL
1972-03-03 | w: GOS | L: HOU
1972-03-03 | w: BOS | L: DET
1972-03-03 | w: SEA | L: CHI
1972-03-03 | w: BLT | L: POR
1972-03-03 | w: MIL | L: PHL
1972-03-03 | w: BUF | L: NYK
1972-03-04 | w: GOS | L: SEA
1972-03-04 | w: CLE | L: HOU
1972-03-04 | w: ATL | L: POR
1972-03-04 | w: NYK | L: PHL
1972-03-05 | w: BLT | L: LAL
1972-03-05 | w: CIN | L: BOS
1972-03-05 | w: SEA | L: ATL
1972-03-05 | w: CHI | L: HOU
1972-03-05 | w: PHX | L: BUF
1972-03-05 | w: PHL | L: NYK
1972-03-06 | w: MIL | L: BOS
1972-03-07 | w: LAL | L: PHL
1972-03-07 | w: GOS | L: CLE
1972-03-07 | w: NYK | L: MIL
1972-03-07 | w: PHX | L: DET
1972-03-07 | w: BLT | L: SEA
1972-03-07 | w: POR | L: BUF
1972-03-08 | w: CHI | L: ATL
1972-03-08 | w: CIN | L: PHX
1972-03-09 | w: HOU | L: POR
1972-03-09 | w: PHL | L: SEA
1972-03-10 | w: LAL | L: CLE
1972-03-10 | w: GOS | L: HOU
1972-03-10 | w: CIN | L: CHI
1972-03-11 | w: PHX | L: NYK
1972-03-11 | w: HOU | L: BUF
1972-03-12 | w: LAL | L: BUF
1972-03-12 | w: ATL | L: CLE
1972-03-12 | w: BOS | L: NYK
1972-03-12 | w: BLT | L: DET
1972-03-12 | w: MIL | L: SEA
1972-03-12 | w: HOU | L: PHL
