============ Start of Season ============
1984-02-29 | w: DET | L: WAS
1984-02-29 | w: MIL | L: CHI
1984-02-29 | w: PHL | L: UTH
1984-02-29 | w: SDC | L: PHX
1984-02-29 | w: NJN | L: LAL
1984-02-29 | w: SEA | L: DAL
1984-03-01 | w: KCK | L: HOU
1984-03-01 | w: POR | L: SAN
1984-03-01 | w: DEN | L: CLE
1984-03-01 | w: PHX | L: PHL
1984-03-02 | w: LAL | L: ATL
1984-03-02 | w: BOS | L: CHI
1984-03-02 | w: NYK | L: DET
1984-03-02 | w: MIL | L: WAS
1984-03-02 | w: SEA | L: IND
1984-03-02 | w: UTH | L: CLE
1984-03-02 | w: GOS | L: SDC
1984-03-02 | w: DAL | L: KCK
1984-03-03 | w: HOU | L: GOS
1984-03-03 | w: MIL | L: NYK
1984-03-03 | w: CHI | L: ATL
1984-03-03 | w: PHX | L: SAN
1984-03-03 | w: POR | L: IND
1984-03-03 | w: KCK | L: DAL
1984-03-03 | w: DEN | L: UTH
1984-03-03 | w: NJN | L: WAS
1984-03-04 | w: BOS | L: SEA
1984-03-04 | w: LAL | L: DET
1984-03-04 | w: PHL | L: SDC
1984-03-05 | w: NJN | L: UTH
1984-03-06 | w: GOS | L: IND
1984-03-06 | w: NYK | L: SEA
1984-03-06 | w: BOS | L: WAS
1984-03-06 | w: DET | L: CHI
1984-03-06 | w: KCK | L: POR
